1;Christies;3647885000;15320
2;Sothebys;3589239300;14134
3;Poly Auction;617015000;4575
4;China Guardian;587802200;8659
5;Phillips;583821200;4613
6;Hollys International;203296300;1323
7;Xiling Yinshe Auction;186202300;3941
8;Bonhams;170108700;8729
9;Rombon Auction;150324600;2901
10;Council International;108069000;1209
11;Artcurial;104392300;3588
12;Beijing Hanhai;74993400;4122
13;Dorotheum;71249200;4692
14;Sungari International;69741700;1459
15;Ketterer Kunst;61927000;1586
